id ymd run task_version session_time
10202 20061118 4 9VA 10:29:56
10202 20071218 1 10VA 15:15:59
10202 20071218 2 11AV 15:08:58
10202 20071218 3 3VA 15:01:51
10202 20071218 4 4AV 15:23:53
10202 20090109 1 4VA 11:12:46
10202 20090109 2 7AV 11:20:10
10202 20090109 3 7VA 11:27:17
10202 20090109 4 9AV 11:05:26
10204 20060105 1 1AV 17:06:08
10204 20060105 2 3VA 17:13:29
10204 20060105 3 7VA 16:58:03
10204 20060105 4 9AV 17:20:58
10204 20070110 1 11VA 17:52:55
10204 20070110 2 12VA 17:38:54
10204 20070110 3 3AV 17:46:00
10204 20070110 4 4AV 17:30:55
10206 20060119 1 10VA 17:41:03
10206 20060119 2 5VA 17:26:27
10206 20060119 3 6AV 17:18:20
10206 20060119 4 8AV 17:33:43
10206 20070106 1 1AV 14:45:22
10206 20070106 2 4VA 14:38:19
10206 20070106 3 5AV 14:31:08
10206 20070106 4 9VA 14:23:34
10211 20060605 1 3AV 17:50:52
10211 20060605 2 3VA 17:41:46
10211 20060605 3 5AV 17:24:23
10211 20060605 4 8VA 17:33:00
10215 20060218 1 2AV 12:17:42
10215 20060218 2 3VA 12:10:20
10215 20060218 3 8VA 11:53:50
10215 20060218 4 9AV 12:02:21
10215 20080126 1 12VA 12:32:14
10215 20080126 2 2AV 12:56:13
10215 20080126 3 6AV 12:40:56
10215 20080126 4 7VA 12:48:38
10216 20070331 1 5VA 11:00:01
10216 20070331 2 6VA 10:43:59
10216 20070331 3 9AV 10:51:27
10217 20060227 1 11AV 17:13:43
10217 20060227 2 11VA 16:57:57
10217 20060227 3 5AV 17:06:05
10217 20060227 4 7VA 17:21:57
10220 20071121 1 10AV 11:13:17
10220 20071121 2 11VA 11:20:38
10220 20071121 3 4AV 10:58:28
10220 20071121 4 8VA 11:05:36
10220 20081203 1 10AV 17:32:09
10220 20081203 2 2VA 17:24:51
10220 20081203 3 4AV 17:17:54
10220 20081203 4 9VA 17:39:32
10221 20060211 1 10VA 15:29:04
10221 20060211 2 1AV 15:47:08
10221 20060211 3 6VA 15:54:12
10221 20060211 4 8AV 15:36:58
10221 20071129 1 12AV 17:12:38
10221 20071129 2 4VA 16:51:25
10221 20071129 3 5VA 17:05:40
10221 20071129 4 8AV 16:58:38
10221 20081124 1 3AV 17:46:14
10221 20081124 2 8VA 17:31:12
10221 20081124 3 9AV 17:23:51
10221 20081124 4 9VA 17:39:10
10221 20100123 1 10VA 10:14:39
10221 20100123 2 11AV 10:07:36
10221 20100123 3 12AV 09:53:08
10221 20100123 4 1VA 10:00:35
10222 20060311 1 1VA 16:41:43
10222 20060311 2 2VA 16:56:58
10222 20060311 3 4AV 17:04:44
10222 20060311 4 7AV 16:49:44
10223 20060615 1 11VA 17:17:26
10223 20060615 2 2AV 16:50:43
10223 20060615 3 6VA 16:58:16
10223 20060615 4 8AV 17:09:54
10223 20080619 1 12AV 13:37:34
10223 20080619 2 3VA 13:52:50
10223 20080619 3 4AV 13:45:23
10223 20080619 4 7VA 13:30:10
10223 20090323 1 10VA 18:03:20
10223 20090323 2 12AV 17:56:10
10223 20090323 3 4VA 17:46:59
10223 20090323 4 9AV 17:39:13
10223 20100402 1 10AV 11:09:42
10223 20100402 2 11VA 11:02:02
10223 20100402 3 2VA 10:45:54
10223 20100402 4 6AV 10:54:39
10226 20051208 1 12VA 17:09:30
10226 20051208 2 2AV 16:53:48
10226 20051208 3 3AV 17:17:11
10226 20051208 4 6VA 17:01:48
10226 20070614 1 1AV 16:48:14
10226 20070614 2 1VA 16:55:01
10226 20070614 3 8AV 16:30:56
10226 20100505 1 11VA 16:46:23
10226 20100505 2 12AV 17:06:12
10226 20100505 3 2AV 16:56:19
10226 20100505 4 6VA 17:13:39
10230 20070627 1 2VA 17:42:25
10230 20070627 2 5VA 17:28:08
10230 20070627 3 8AV 17:35:20
10230 20070627 4 9AV 17:49:43
10235 20060325 1 12VA 15:39:20
10235 20060325 2 12VA 15:47:03
10235 20060325 3 6VA 15:23:42
10235 20060325 4 9AV 15:32:05
10241 20060515 1 12VA 16:47:05
10241 20060515 2 8AV 16:54:40
10241 20060515 3 8VA 17:09:04
10241 20060515 4 9AV 17:01:58
10241 20070303 1 12VA 12:03:24
10241 20070303 2 2AV 12:10:33
10241 20070303 3 3AV 11:55:53
10241 20070303 4 4VA 12:22:47
10241 20080327 1 2AV 17:06:30
10241 20080327 2 3VA 17:14:03
10241 20080327 3 4AV 16:51:19
10241 20080327 4 6VA 16:59:11
10241 20090311 1 11VA 17:44:19
10241 20090311 2 12AV 17:18:55
10241 20090311 3 2AV 17:33:54
10241 20090311 4 3VA 17:26:15
10241 20100405 1 10AV 17:23:39
10241 20100405 2 5AV 17:09:07
10241 20100405 3 6VA 17:16:25
10241 20100405 4 9VA 17:30:58
10241 20111220 1 10AV 15:38:17
10241 20111220 2 3VA 15:30:32
10241 20111220 3 5VA 15:09:41
10241 20111220 4 8AV 15:20:30
10248 20080520 1 3VA 17:22:35
10248 20080520 2 5AV 17:15:16
10248 20080520 3 5VA 17:01:01
10248 20080520 4 8AV 17:08:08
10248 20090318 1 12AV 17:00:47
10248 20090318 2 2AV 16:39:27
10248 20090318 3 2VA 16:46:38
10248 20090318 4 8VA 16:53:42
10252 20060504 1 5AV 16:59:28
10252 20060504 2 6VA 17:06:54
10252 20060504 3 9AV 16:43:47
10252 20060504 4 9VA 16:51:43
10252 20080626 1 4VA 12:25:33
10252 20080626 2 5VA 12:40:50
10252 20080626 3 8AV 12:48:20
10252 20080626 4 9AV 12:33:27
10252 20090513 1 12VA 13:40:59
10252 20090513 2 4AV 13:48:26
10252 20090513 3 5AV 14:02:58
10252 20090513 4 9VA 13:55:44
10252 20110209 1 11AV 16:49:05
10252 20110209 2 2VA 16:34:01
10252 20110209 3 9AV 16:41:35
10252 20110412 1 10VA 17:09:00
10252 20110412 2 11AV 16:54:07
10252 20110412 3 12VA 16:46:37
10252 20110412 4 5AV 17:01:30
10253 20060501 1 11AV 17:24:34
10253 20060501 2 12VA 17:00:40
10253 20060501 3 3AV 17:09:01
10253 20060501 4 8VA 17:16:42
10253 20110209 1 2AV 17:36:25
10253 20110209 2 5AV 18:01:16
10253 20110209 3 6VA 17:44:43
10253 20110209 4 7VA 17:51:41
10256 20060408 1 10VA 15:29:25
10256 20060408 2 11AV 15:36:50
10256 20060408 3 3AV 15:44:26
10256 20060408 4 8VA 15:52:18
10256 20080625 1 1AV 16:22:06
10256 20080625 2 1VA 16:15:07
10256 20080625 3 5AV 16:06:42
10256 20090609 1 1AV 17:26:16
10256 20090609 2 1VA 17:01:57
10256 20090609 3 6AV 17:09:08
10256 20090609 4 8VA 17:18:55
10256 20100512 1 11AV 17:20:51
10256 20100512 2 7VA 17:07:00
10256 20100512 3 8AV 16:52:35
10256 20100512 4 9VA 17:13:52
10260 20070707 1 12AV 10:12:33
10260 20070707 2 4VA 10:04:56
10260 20070707 3 6AV 10:27:23
10260 20070707 4 8VA 10:19:40
10261 20060417 1 10AV 17:12:09
10261 20060417 2 11VA 17:34:33
10261 20060417 3 3VA 17:20:09
10261 20060417 4 6AV 17:27:25
10263 20060826 1 10VA 15:03:05
10263 20060826 2 11VA 15:24:50
10263 20060826 3 7AV 15:17:43
10263 20060826 4 9AV 15:10:41
10263 20070924 1 11VA 10:04:02
10263 20070924 2 7AV 09:56:56
10263 20070924 3 7VA 10:11:13
10263 20070924 4 8AV 10:18:13
10269 20060401 1 12VA 12:34:31
10269 20060401 2 2AV 12:41:50
10269 20060401 3 6VA 12:18:23
10269 20060401 4 7AV 12:26:04
10273 20060427 1 10VA 16:58:56
10273 20060427 2 12AV 17:13:47
10273 20060427 3 2VA 17:06:22
10273 20060427 4 8AV 16:50:41
10278 20060330 1 3AV 17:32:14
10278 20060330 2 6AV 17:23:22
10278 20060330 3 7VA 17:14:46
10278 20060330 4 9VA 17:40:12
10279 20060410 1 1AV 16:55:46
